file_name,bar,total_rows,latest_time,latest_close,ma10,ma20,ma50,ma100,ma200,rsi14,macd_dif,macd_dea,macd_hist,atr12,supertrend_value,supertrend_direction,supertrend_period,supertrend_multiplier,pivot_source_time,pivot_point,pivot_r1,pivot_r2,pivot_r3,pivot_s1,pivot_s2,pivot_s3
SOL_15m_202608071200_202608221145.csv,15m,1440,2026-08-22 11:45:00+08:00,96.79000000,95.41700000,94.65600000,93.09640000,91.88870000,89.40400000,79.297,+0.97691729,+0.75742014,+0.21949716,0.79345157,94.57688576,多头趋势,12,3.000,2026-08-22 11:45:00+08:00,96.90000000,97.20000000,97.61000000,97.91000000,96.49000000,96.19000000,95.78000000
SOL_30m_202607231200_202608221130.csv,30m,1440,2026-08-22 11:30:00+08:00,96.79000000,94.75400000,93.60050000,91.94440000,89.44340000,83.87250000,77.970,+1.24257191,+0.97377031,+0.26880160,1.05302158,93.82093525,多头趋势,12,3.000,2026-08-22 11:30:00+08:00,96.91666667,97.43333333,98.07666667,98.59333333,96.27333333,95.75666667,95.11333333
SOL_1h_202606231200_202608221100.csv,1H,1440,2026-08-22 11:00:00+08:00,96.79000000,93.62000000,92.57600000,89.50800000,83.92570000,79.71620000,76.010,+1.72208263,+1.46506869,+0.25701394,1.44503775,92.19488676,多头趋势,12,3.000,2026-08-22 11:00:00+08:00,96.61666667,97.73333333,98.67666667,99.79333333,95.67333333,94.55666667,93.61333333
