file_name,bar,total_rows,ma50_count,first_ma50_time,last_ma50_time,long_count,long_max_deviation,long_max_deviation_time,long_max_deviation_close,long_max_deviation_ma50,long_min_deviation,long_min_deviation_time,long_min_deviation_close,long_min_deviation_ma50,long_avg_deviation,short_count,short_max_deviation,short_max_deviation_time,short_max_deviation_close,short_max_deviation_ma50,short_min_deviation,short_min_deviation_time,short_min_deviation_close,short_min_deviation_ma50,short_avg_deviation,zero_count
SOL_15m_202608041845_202608191830.csv,15m,1440,1391,2026-08-05 07:00:00+08:00,2026-08-19 18:30:00+08:00,723,+2.186%,2026-08-08 23:00:00+08:00,76.66000000,75.01980000,+0.001%,2026-08-05 15:45:00+08:00,73.99000000,73.98940000,+0.464%,667,-1.332%,2026-08-11 23:30:00+08:00,74.85000000,75.86020000,-0.000%,2026-08-05 21:45:00+08:00,73.99000000,73.99020000,-0.355%,1
SOL_30m_202607201830_202608191800.csv,30m,1440,1391,2026-07-21 19:00:00+08:00,2026-08-19 18:00:00+08:00,716,+2.838%,2026-08-08 22:30:00+08:00,76.48000000,74.36940000,+0.001%,2026-08-18 13:30:00+08:00,75.73000000,75.72960000,+0.640%,674,-3.503%,2026-07-28 09:30:00+08:00,73.21000000,75.86780000,-0.005%,2026-08-05 12:30:00+08:00,73.81000000,73.81360000,-0.725%,1
SOL_1h_202606201800_202608191700.csv,1H,1440,1391,2026-06-22 19:00:00+08:00,2026-08-19 17:00:00+08:00,706,+8.474%,2026-07-02 19:00:00+08:00,82.40000000,75.96280000,+0.004%,2026-08-13 10:00:00+08:00,75.97000000,75.96680000,+1.427%,685,-7.133%,2026-06-25 01:00:00+08:00,64.97000000,69.96040000,-0.003%,2026-08-03 13:00:00+08:00,72.93000000,72.93200000,-1.309%,0
